model,dataset,direction,total,pass1,pass1_rate,compile_err1,runtime_err1,incorrect_err1,compiled1,compile_rate1,compiled_not_pass1,failed1,repaired,repaired_pass,repaired_rate,rem_compile,rem_runtime,rem_incorrect,final_pass,final_rate,delta_rate
gemma4-e2b,avatar,Java→Python,249,62,24.9,29,4,154,220,88.35,158,187,186,25,13.44,16,3,142,87,34.94,10.04
gemma4-e2b,avatar,Python→Java,250,76,30.4,90,51,33,160,64.0,84,174,174,25,14.37,66,64,19,101,40.4,10.0
gemma4-e2b,codenet,Java→Python,201,78,38.81,22,4,97,179,89.05,101,123,123,40,32.52,10,2,71,118,58.71,19.9
gemma4-e2b,codenet,Python→Java,200,119,59.5,42,27,12,158,79.0,39,81,81,15,18.52,28,30,8,134,67.0,7.5
gemma4-e2b,evalplus,Python→Java,164,146,89.02,18,0,0,146,89.02,0,18,18,14,77.78,4,0,0,160,97.56,8.54
gemma4-e4b,avatar,Java→Python,249,132,53.01,31,6,80,218,87.55,86,117,117,20,17.09,18,0,79,152,61.04,8.03
gemma4-e4b,avatar,Python→Java,250,108,43.2,70,47,25,180,72.0,72,142,142,28,19.72,49,56,9,136,54.4,11.2
gemma4-e4b,codenet,Java→Python,201,131,65.17,18,3,49,183,91.04,52,70,70,23,32.86,11,0,36,154,76.62,11.44
gemma4-e4b,codenet,Python→Java,200,145,72.5,31,23,1,169,84.5,24,55,55,20,36.36,20,14,1,165,82.5,10.0
gemma4-e4b,evalplus,Python→Java,164,150,91.46,14,0,0,150,91.46,0,14,14,0,0.0,153,0,0,150,91.46,0.0
llama3.1-8b,avatar,Java→Python,249,92,36.95,0,116,41,249,100.0,157,157,156,28,17.95,1,80,47,120,48.19,11.24
llama3.1-8b,avatar,Python→Java,250,86,34.4,61,37,66,189,75.6,103,164,164,17,10.37,42,38,67,103,41.2,6.8
llama3.1-8b,codenet,Java→Python,201,89,44.28,5,84,23,196,97.51,107,112,112,23,20.54,5,60,24,112,55.72,11.44
llama3.1-8b,codenet,Python→Java,200,125,62.5,26,16,33,174,87.0,49,75,75,21,28.0,17,11,26,146,73.0,10.5
llama3.1-8b,evalplus,Python→Java,164,137,83.54,27,0,0,137,83.54,0,27,27,0,0.0,146,0,0,137,83.54,0.0
phi4-mini-3.8b,avatar,Java→Python,249,0,0.0,248,0,1,1,0.4,1,249,249,0,0.0,235,5,9,0,0.0,0.0
phi4-mini-3.8b,avatar,Python→Java,250,0,0.0,248,2,0,2,0.8,2,250,28,0,0.0,27,0,1,0,0.0,0.0
phi4-mini-3.8b,codenet,Java→Python,201,38,18.91,73,69,21,128,63.68,90,163,163,0,0.0,147,1,15,38,18.91,0.0
phi4-mini-3.8b,codenet,Python→Java,200,0,0.0,199,1,0,1,0.5,1,200,200,0,0.0,194,6,0,0,0.0,0.0
phi4-mini-3.8b,evalplus,Python→Java,164,83,50.61,81,0,0,83,50.61,0,81,81,0,0.0,145,0,0,83,50.61,0.0
qwen3.5-9b,avatar,Java→Python,249,49,19.68,1,15,184,248,99.6,199,200,200,105,52.5,11,12,72,154,61.85,42.17
qwen3.5-9b,avatar,Python→Java,250,21,8.4,2,221,6,248,99.2,227,229,229,86,37.55,19,80,44,107,42.8,34.4
qwen3.5-9b,codenet,Java→Python,201,16,7.96,2,3,180,199,99.0,183,185,185,135,72.97,5,5,40,151,75.12,67.16
qwen3.5-9b,codenet,Python→Java,200,97,48.5,5,98,0,195,97.5,98,103,103,69,66.99,5,23,6,166,83.0,34.5
qwen3.5-9b,evalplus,Python→Java,164,133,81.1,31,0,0,133,81.1,0,31,31,0,0.0,137,0,0,133,81.1,0.0
