model,dataset,direction,total,pass1,pass1_rate,repaired,repaired_pass,repaired_rate,final_pass,final_rate
gemma4-e2b,avatar,Java→Python,249,62,24.9,186,25,13.44,87,34.94
gemma4-e2b,avatar,Python→Java,250,76,30.4,174,25,14.37,101,40.4
gemma4-e2b,codenet,Java→Python,201,78,38.81,123,40,32.52,118,58.71
gemma4-e2b,codenet,Python→Java,200,119,59.5,81,15,18.52,134,67.0
gemma4-e2b,evalplus,Python→Java,164,146,89.02,18,14,77.78,160,97.56
gemma4-e4b,avatar,Java→Python,249,132,53.01,117,20,17.09,152,61.04
gemma4-e4b,avatar,Python→Java,250,108,43.2,142,28,19.72,136,54.4
gemma4-e4b,codenet,Java→Python,201,131,65.17,70,23,32.86,154,76.62
gemma4-e4b,codenet,Python→Java,200,145,72.5,55,20,36.36,165,82.5
gemma4-e4b,evalplus,Python→Java,164,150,91.46,14,0,0.0,150,91.46
llama3.1-8b,avatar,Java→Python,249,92,36.95,156,28,17.95,120,48.19
llama3.1-8b,avatar,Python→Java,250,86,34.4,164,17,10.37,103,41.2
llama3.1-8b,codenet,Java→Python,201,89,44.28,112,23,20.54,112,55.72
llama3.1-8b,codenet,Python→Java,200,125,62.5,75,21,28.0,146,73.0
llama3.1-8b,evalplus,Python→Java,164,137,83.54,27,0,0.0,137,83.54
phi4-mini-3.8b,avatar,Java→Python,249,0,0.0,249,0,0.0,0,0.0
phi4-mini-3.8b,avatar,Python→Java,250,0,0.0,28,0,0.0,0,0.0
phi4-mini-3.8b,codenet,Java→Python,201,38,18.91,163,0,0.0,38,18.91
phi4-mini-3.8b,codenet,Python→Java,200,0,0.0,200,0,0.0,0,0.0
phi4-mini-3.8b,evalplus,Python→Java,164,83,50.61,81,0,0.0,83,50.61
qwen3.5-9b,avatar,Java→Python,249,49,19.68,200,105,52.5,154,61.85
qwen3.5-9b,avatar,Python→Java,250,21,8.4,229,86,37.55,107,42.8
qwen3.5-9b,codenet,Java→Python,201,16,7.96,185,135,72.97,151,75.12
qwen3.5-9b,codenet,Python→Java,200,97,48.5,103,69,66.99,166,83.0
qwen3.5-9b,evalplus,Python→Java,164,133,81.1,31,0,0.0,133,81.1
